Unit,Section,Num,POS,English,Chinese
1,Vocabulary,20,n.,punctuation,标点符号
1,Vocabulary,20,v.,punctuate,强调
1,Phrases,1,,fill...with...,用……把……装满
1,Phrases,2,,(be) happy with,对……满意的
1,Phrases,3,,make sure,确保；设法保证
1,Phrases,4,,be made of...,由……制成
1,Phrases,5,,in order to,为了
1,Phrases,6,,send... to prison,把……关进监狱
1,Phrases,7,,find out,找出；查明
1,Phrases,8,,seem to...,似乎……；好像……
1,Phrases,9,,think about,考虑
1,Phrases,10,,think of,想出
1,Phrases,11,,leave sb. alone,让某人独处
1,Phrases,12,,lead ... onto,带领……上去
1,Phrases,13,,take ... off,脱下
1,Phrases,14,,go lower,往下
1,Phrases,15,,draw a line,画一条线
1,Phrases,16,,add up,加起来
1,Phrases,17,,cut sth. up,切碎
1,Phrases,18,,run over,溢出
1,Phrases,19,,large enough,足够大
1,Phrases,20,,the weight of the elephant,大象的重量
1,Sentences,1,,He began to doubt that it was a real golden crown.,他开始怀疑这是否是一顶纯金的王冠。
1,Sentences,2,,This problem seems difficult to solve.,这个问题似乎难以解决。
1,Sentences,3,,He sent the crown maker to prison.,他把做王冠的人投入监狱。
1,Sentences,4,,The king was very happy with it.,国王对（王冠）很满意。
1,Sentences,5,,John filled his bath with water.,John把浴缸放满水。
2,Vocabulary,1,n.,astronomer,天文学家
2,Vocabulary,1,n.,astronomy,天文学
2,Vocabulary,2,v.,consider,认为；觉得
2,Vocabulary,2,n.,consideration,考虑
2,Vocabulary,3,n.,humour,幽默
2,Vocabulary,3,adj.,humorous,幽默的
2,Vocabulary,3,adv.,humorously,幽默地
2,Vocabulary,3,adj.,humourless,不幽默的
2,Vocabulary,4,n.,invitation,邀请
2,Vocabulary,4,v.,invite,邀请
2,Vocabulary,5,n.,pleasure,乐事
2,Vocabulary,5,v.,please,使—高兴；使—满意
2,Vocabulary,5,adj.,pleased,感到满意的
2,Vocabulary,5,adj.,pleasing,令人满意的
2,Vocabulary,5,adj.,pleasant,愉快的
2,Vocabulary,6,v.,avoid,避免；避开
2,Vocabulary,6,adj.,avoidable,可以避免的
2,Vocabulary,7,n.,seat,座位
2,Vocabulary,7,v.,sit,坐下
2,Vocabulary,8,n.,applause,鼓掌；喝彩
2,Vocabulary,8,v.,applaud,向……喝彩
2,Vocabulary,9,n.,achievement,成就；成绩
2,Vocabulary,9,v.,achieve,实现
2,Vocabulary,10,n.,universe,宇宙
2,Vocabulary,10,adj.,universal,普遍的
2,Vocabulary,11,n.,philosopher,哲学家
2,Vocabulary,11,n.,philosophy,哲学
2,Vocabulary,12,v.,reduce,减少
2,Vocabulary,12,n.,reduction,减少
2,Vocabulary,13,adv.,exactly,精准地；准确地
2,Vocabulary,13,adj.,exact,精准的；准确的
2,Vocabulary,14,n.,action,情节；行为；行动
2,Vocabulary,14,v.,act,扮演；表现
2,Vocabulary,14,adj.,active,活跃的
2,Vocabulary,14,n.,activity,活动
2,Vocabulary,14,n.,actor,男演员
2,Vocabulary,14,n.,actress,女演员
2,Vocabulary,15,n.,fun,快乐
2,Vocabulary,15,adj.,funny,有趣的
2,Vocabulary,16,adj.,curious,好奇的
2,Vocabulary,16,adv.,curiously,好奇地
2,Vocabulary,16,n.,curiosity,好奇心
2,Vocabulary,17,v.,warn,警告
2,Vocabulary,17,n.,warning,警告
2,Vocabulary,18,v.,explain,解释
2,Vocabulary,18,n.,explanation,解释
2,Vocabulary,19,n.,saying,名言
2,Vocabulary,19,v.,say,说
2,Vocabulary,20,n.,imagination,想象力
2,Vocabulary,20,v.,imagine,想象
2,Vocabulary,20,adj.,imaginary,想象的
2,Phrases,1,,a series of,一系列
2,Phrases,2,,sense of humour,幽默感
2,Phrases,3,,join in,参加；加入
2,Phrases,4,,let ... down,使……失望
2,Phrases,5,,play a joke on sb.,跟某人开玩笑
2,Phrases,6,,turning points,转折点
2,Phrases,7,,have no idea,丝毫不知道
2,Phrases,8,,in return,作为回报
2,Phrases,9,,without difficulty,轻而易举
2,Phrases,10,,(be) in trouble,倒霉；处于困境
2,Phrases,11,,be tired of,对……厌倦
2,Phrases,12,,by heart,单凭记忆；能背诵
2,Phrases,13,,give one's lecture,讲课
2,Phrases,14,,return sb.'s call,回某人的电话
2,Phrases,15,,take a message,捎口信
2,Phrases,16,,side by side,并排
2,Phrases,17,,from time to time,不时
2,Phrases,18,,be honest with sb.,对某人坦诚的
2,Phrases,19,,take a seat,就坐
2,Sentences,1,,It's a pleasure to drive a genius like you.,能为像你这样的天才开车是一种荣幸。
2,Sentences,2,,Hans was guided to the front of the hall.,Hans被人带到报告厅的前方。
2,Sentences,3,,That's such an easy question that even my driver can answer it.,如此简单的一个问题甚至连我的司机都能回答。
2,Sentences,4,,I've listened to your lecture so many times that I've learnt it by heart.,我听过你的演讲那么多次，我都能背下来。
2,Sentences,5,,Many people consider Albert Einstein a genius.,许多人认为爱因斯坦是一位天才。
3,Vocabulary,1,n.,decision,决定；抉择
3,Vocabulary,1,v.,decide,决定
3,Vocabulary,2,n.,possessions,个人财产；私人物品
3,Vocabulary,2,v.,possess,拥有
3,Vocabulary,3,v.,expect,期待
3,Vocabulary,3,n.,expectation,期待
3,Vocabulary,3,adj.,expected,期待的；预期的
3,Vocabulary,3,adj.,unexpected,意料之外的
3,Vocabulary,3,adv.,unexpectedly,意料之外地
3,Vocabulary,4,n.,business,商务；公事
3,Vocabulary,4,adj.,busy,忙碌的
3,Vocabulary,5,adj.,personal,个人的；私人的
3,Vocabulary,5,n.,person,人
3,Vocabulary,5,n.,personality,个性；性格
3,Vocabulary,6,adj.,fashionable,流行的；时髦的
3,Vocabulary,6,n.,fashion,流行
3,Vocabulary,7,n.,relationship,关系；联系
3,Vocabulary,7,n.,relation,关系；联系
3,Vocabulary,7,v.,relate,关系；联系
3,Vocabulary,7,n.,relative,亲戚
3,Vocabulary,8,v.,invite,邀请
3,Vocabulary,8,n.,invitation,邀请
3,Vocabulary,9,n.,type,类型
3,Vocabulary,9,v.,type,打字
3,Vocabulary,9,n.,typist,打字员
3,Vocabulary,9,n.,typewriter,打字机
3,Vocabulary,10,n.,interest,兴趣
3,Vocabulary,10,adj.,interesting,有趣的
3,Vocabulary,10,adj.,interested,感到有趣的
3,Vocabulary,11,adj.,crowded,拥挤的
3,Vocabulary,11,n.,crowd,人群
3,Vocabulary,12,v.,punish,惩罚
3,Vocabulary,12,n.,punishment,惩罚
3,Vocabulary,13,adj.,terrible,糟糕的
3,Vocabulary,13,adv.,terribly,相当地
3,Vocabulary,14,adj.,wide,宽阔的
3,Vocabulary,14,adv.,widely,广阔地
3,Vocabulary,14,n.,width,宽度
3,Vocabulary,15,v.,include,包括
3,Vocabulary,15,prep.,including,包括
3,Vocabulary,16,v.,communicate,交流
3,Vocabulary,16,n.,communication,交流
3,Vocabulary,17,adj.,satisfactory,满意的
3,Vocabulary,17,adj.,satisfied,感到满意的
3,Vocabulary,17,adj.,satisfying,令人满意的
3,Vocabulary,17,v.,satisfy,使满意
3,Vocabulary,18,v.,accept,接受
3,Vocabulary,18,adj.,acceptable,可以接受的
3,Vocabulary,19,v.,require,要求
3,Vocabulary,19,n.,requirement,要求
3,Vocabulary,20,n.,addition,增加物
3,Vocabulary,20,v.,add,增加；补充
3,Phrases,1,,help with,帮着做
3,Phrases,2,,(be) on business,出差
3,Phrases,3,,have no interest in,对……无兴趣
3,Phrases,4,,make decisions,做决定
3,Phrases,5,,have got ...,拥有……
3,Phrases,6,,go out for dinner,出去吃晚餐
3,Phrases,7,,go abroad,出国
3,Phrases,8,,do one's own personal things,做某人自己的私事
3,Phrases,9,,set rules (for sb.),给某人制定规则
3,Phrases,10,,feel lonely,感到寂寞
3,Phrases,11,,fashionable clothes,新潮衣服
3,Phrases,12,,out of date,过时
3,Phrases,13,,look after oneself,照顾自己
3,Phrases,14,,school events,学校活动
3,Phrases,15,,for example,例如
3,Phrases,16,,have a close relationship,关系亲密
3,Phrases,17,,support each other,互相支持
3,Phrases,18,,have trouble doing,在做……遇到困难
3,Phrases,19,,communicate with sb.,与某人交流
3,Phrases,20,,find out,找出
3,Phrases,21,,be away from home,离开家
3,Sentences,1,,Have I got many possessions?,我有很多私人物品吗？
3,Sentences,2,,My dad is often abroad on business.,我爸爸经常到国外出差。
3,Sentences,3,,We just usually do our own personal things.,我们通常只做自己的事情。
3,Sentences,4,,I have no interest in things like fashionable clothes.,我对时装类的衣服不感兴趣。
3,Sentences,5,,My family always come to my school events.,我的家人经常到学校来参加活动。
4,Vocabulary,1,adj.,awful,很坏的；极讨厌的
4,Vocabulary,1,adv.,awfully,很坏地；相当地
4,Vocabulary,2,v.,regret,懊悔
4,Vocabulary,2,adj.,regretful,遗憾的
4,Vocabulary,3,adj.,ashamed,惭愧的
4,Vocabulary,3,n.,shame,羞愧
4,Vocabulary,3,adj.,shameful,羞愧的
4,Vocabulary,3,adj.,shameless,无耻的
4,Vocabulary,4,n.,advantage,优势
4,Vocabulary,4,n.,disadvantage,劣势
4,Vocabulary,5,adj.,embarrassed,尴尬的
4,Vocabulary,5,adj.,embarrassing,令人尴尬的
4,Vocabulary,5,v.,embarrass,使尴尬
4,Vocabulary,5,n.,embarrassment,尴尬
4,Vocabulary,6,v.,suggest,建议；提示
4,Vocabulary,6,n.,suggestion,建议
4,Vocabulary,7,adj.,mad,很生气的
4,Vocabulary,7,adv.,madly,很生气地
4,Vocabulary,7,n.,madness,生气
4,Vocabulary,8,n.,mess,杂乱；不整洁
4,Vocabulary,8,adj.,messy,杂乱的
4,Vocabulary,9,adj.,annoying,使恼怒的；使生气的
4,Vocabulary,9,adj.,annoyed,感到恼怒的；感到生气的
4,Vocabulary,9,v.,annoy,使一恼怒；使一生气
4,Vocabulary,10,v.,fail,不及格；失败
4,Vocabulary,10,n.,failure,失败
4,Vocabulary,11,adj.,careless,粗心的
4,Vocabulary,11,adv.,carelessly,粗心地
4,Vocabulary,11,n.,carelessness,粗心
4,Vocabulary,11,adj.,careful,细心的
4,Vocabulary,11,adv.,carefully,细心地
4,Vocabulary,11,n.,carefulness,细心
4,Vocabulary,11,n/v.,care,照顾
4,Vocabulary,12,n/v.,worry,担心；担忧
4,Vocabulary,12,adj.,worried,担心的；担忧的
4,Vocabulary,13,adj.,similar,相似的
4,Vocabulary,13,adv.,similarly,相似地
4,Vocabulary,13,n.,similarity,相似
4,Vocabulary,14,n.,advice,建议
4,Vocabulary,14,v.,advise,建议
4,Vocabulary,15,v.,follow,跟随
4,Vocabulary,15,adj.,following,接下来的
4,Vocabulary,16,adj.,angry,生气的
4,Vocabulary,16,n.,anger,生气
4,Vocabulary,17,adj.,sick,生病的
4,Vocabulary,17,n.,sickness,疾病
4,Vocabulary,18,n.,behaviour,行为
4,Vocabulary,18,v.,behave,表现
4,Vocabulary,19,n.,secret,秘密
4,Vocabulary,19,adj.,secret,秘密的
4,Vocabulary,19,adv.,secretly,秘密地
4,Vocabulary,20,n.,accident,事故；意外
4,Vocabulary,20,adj.,accidental,意外的
4,Vocabulary,20,adv.,accidentally,意外地
4,Phrases,1,,be on a diet,节食
4,Phrases,2,,out of place,格格不入
4,Phrases,3,,none of one's business,与某人无关
4,Phrases,4,,hear from ...,收到……来信
4,Phrases,5,,laugh at sb.,嘲笑某人
4,Phrases,6,,feel ashamed of,对……感到惭愧
4,Phrases,7,,drive sb. mad,让某人受不了
4,Phrases,8,,make a mess,搞得一塌糊涂
4,Phrases,9,,offer to help,提供帮助
4,Phrases,10,,say bad things about sb.,说某人坏话
4,Phrases,11,,look very sick,看起来病得很重
4,Phrases,12,,be worried about,担心
4,Phrases,13,,get angry,生气
4,Phrases,14,,see ... lying,看见……正躺着
4,Phrases,15,,share ... with ...,分享
4,Phrases,16,,make jokes about,开玩笑
4,Phrases,17,,try to do sth.,努力做某事
4,Phrases,18,,keep sth. tidy,保持整洁
4,Phrases,19,,regret (not) doing sth.,后悔（不）做某事
4,Phrases,20,,feel embarrassed,感到尴尬
4,Sentences,1,,"Whenever I talk to her about this, she gets angry.",每当我跟她谈起这件事时，她就会生气。
4,Sentences,2,,My friends made jokes about her and laughed.,我的朋友们取笑她来取乐。
4,Sentences,3,,I feel ashamed of myself.,我为自己感到羞愧。
4,Sentences,4,,I feel embarrassed when I smile or open my mouth.,当我微笑或张嘴时，我感到很尴尬。
4,Sentences,5,,It's difficult for me to eat.,（戴牙套）让我进食困难。
5,Vocabulary,1,v.,view,观看
5,Vocabulary,1,n.,viewer,观看者
5,Vocabulary,1,v.,interview,采访
5,Vocabulary,2,n.,director,导演
5,Vocabulary,2,v.,direct,指导
5,Vocabulary,2,adj.,direct,直接的
5,Vocabulary,2,adv.,directly,直接地
5,Vocabulary,2,n.,direction,方向
5,Vocabulary,3,n.,artist,艺术家
5,Vocabulary,3,n.,art,艺术
5,Vocabulary,4,n.,contestant,比赛者
5,Vocabulary,4,n.,contest,比赛
5,Vocabulary,5,adj.,relaxed,感到放松的
5,Vocabulary,5,adj.,relaxing,令人放松的
5,Vocabulary,5,v.,relax,使放松
5,Vocabulary,5,n.,relaxation,放松
5,Vocabulary,6,n.,England,英国
5,Vocabulary,6,n/adj.,English,英语/英国的
5,Vocabulary,6,n.,Englishman,英国人
5,Vocabulary,7,adj.,lucky,幸运的
5,Vocabulary,7,adv.,luckily,幸运地
5,Vocabulary,7,adj.,unlucky,不幸运的
5,Vocabulary,7,adv.,unluckily,不幸运地
5,Vocabulary,7,n.,luck,幸运；运气
5,Vocabulary,8,n.,emergency,紧急情况
5,Vocabulary,8,adj.,emergent,紧急的
5,Vocabulary,9,adj.,foreign,外国的；外来的
5,Vocabulary,9,n.,foreigner, foreigners 外国人
5,Vocabulary,10,adj.,single,仅有一个的
5,Vocabulary,10,adv.,singly,单个地
5,Vocabulary,11,v.,encourage,鼓励
5,Vocabulary,11,n.,encouragement,鼓励
5,Vocabulary,12,adj.,brave,勇敢的
5,Vocabulary,12,adv.,bravely,勇敢地
5,Vocabulary,12,n.,bravery,勇敢
5,Vocabulary,13,adv.,suddenly,突然地
5,Vocabulary,13,adj.,sudden,突然的
5,Vocabulary,14,adj.,prepared,准备好的
5,Vocabulary,14,adj.,unprepared,没有准备好的
5,Vocabulary,14,v.,prepare,准备
5,Vocabulary,14,n.,preparation,准备
5,Vocabulary,15,adj.,favourite,最喜爱的
5,Vocabulary,15,n./v.,favour,喜爱；支持
5,Vocabulary,16,v.,choose,选择
5,Vocabulary,16,n.,choice,选择
5,Vocabulary,17,adj.,honest,诚实的
5,Vocabulary,17,n.,honesty,诚实
5,Vocabulary,18,v.,appear,出现；看起来
5,Vocabulary,18,v.,disappear,消失
5,Vocabulary,18,n.,appearance,外貌
5,Vocabulary,19,n.,industry,工业
5,Vocabulary,19,adj.,industrial,工业的
5,Vocabulary,20,n.,introduction,介绍
5,Vocabulary,20,v.,introduce,介绍
5,Phrases,1,,floor plan,楼层平面图
5,Phrases,2,,talent show,达人秀
5,Phrases,3,,pass out,昏迷
5,Phrases,4,,keep still,保持静止
5,Phrases,5,,emergency exit,紧急出口
5,Phrases,6,,on weekdays,在工作日
5,Phrases,7,,prepare oneself for,准备
5,Phrases,8,,stay relaxed,保持放松
5,Phrases,9,,get wet,变湿
5,Phrases,10,,on the stage,在舞台上
5,Phrases,11,,TV quiz show,电视益智竞赛节目
5,Phrases,12,,make-up artist,化妆师
5,Phrases,13,,have a haircut,剪了个头发
5,Phrases,14,,jump out of one's surprise,大吃一惊
5,Phrases,15,,opening words,开场白
5,Phrases,16,,closing words,结尾语
5,Phrases,17,,film set,电影布景
5,Phrases,18,,host a show,主持节目
5,Phrases,19,,cut a long story,长话短说
5,Phrases,20,,to be honest,老实说
5,Phrases,21,,a piece of cake,小菜一碟
6,Vocabulary,1,n.,preference,偏爱；喜爱
6,Vocabulary,1,v.,prefer,更喜欢
6,Vocabulary,2,n.,product,产品
6,Vocabulary,2,v.,produce,生产
6,Vocabulary,2,n.,producer,生产商
6,Vocabulary,2,n.,production,生产
6,Vocabulary,3,adj.,medical,医疗的
6,Vocabulary,3,n.,medicine,医药
6,Vocabulary,4,v.,state,说明
6,Vocabulary,4,n.,statement,说明
6,Vocabulary,4,n.,state,州
6,Vocabulary,5,adj.,necessary,必需的；必要的
6,Vocabulary,5,adj.,unnecessary,不必需的；不必要的
6,Vocabulary,5,n.,necessity,必需品
6,Vocabulary,6,adj.,usual,通常的；寻常的
6,Vocabulary,6,adv.,usually,通常地；寻常地
6,Vocabulary,6,adj.,unusual,不寻常的
6,Vocabulary,6,adv.,unusually,不寻常地
6,Vocabulary,7,v.,treat,买；对待；款待
6,Vocabulary,7,n.,treatment,对待；款待
6,Vocabulary,8,n.,customer,顾客
6,Vocabulary,8,n.,custom,风俗；习俗
6,Vocabulary,9,v.,serve,提供（服务）
6,Vocabulary,9,n.,service,服务
6,Vocabulary,9,n.,servant,仆人
6,Vocabulary,10,n.,seat,座位
6,Vocabulary,10,v.,sit,坐
6,Vocabulary,11,adj.,balanced,平衡的
6,Vocabulary,11,n/v.,balance,平衡
6,Vocabulary,12,adj.,fried,油炸的
6,Vocabulary,12,v.,fry,油炸；煎；炒
6,Vocabulary,13,n.,weight,重量
6,Vocabulary,13,v.,weigh,称……重
6,Vocabulary,14,n.,health,健康
6,Vocabulary,14,adj.,healthy,健康的
6,Vocabulary,14,adv.,healthily,健康地
6,Vocabulary,14,adj.,unhealthy,不健康的
6,Vocabulary,14,adv.,unhealthily,不健康地
6,Vocabulary,15,n.,tradition,传统
6,Vocabulary,15,adj.,traditional,传统的
6,Vocabulary,16,v.,mean,意思是
6,Vocabulary,16,n.,meaning,意义
6,Vocabulary,16,adj.,meaningful,有意义的
6,Vocabulary,16,adj.,meaningless,没有意义的
6,Vocabulary,17,adj.,general,普遍的；总的
6,Vocabulary,17,adv.,generally,普遍地；总的来说
6,Vocabulary,18,v.,advertise,做广告
6,Vocabulary,18,n.,advertisement,广告
6,Vocabulary,19,n/adj.,total,总数；总共的
6,Vocabulary,19,adv.,totally,总共地；完全地
6,Vocabulary,20,v.,tend,趋向；易于
6,Vocabulary,20,n.,tendency,趋向；趋势
6,Phrases,1,,a balanced diet,平衡饮食
6,Phrases,2,,dairy product,乳制品
6,Phrases,3,,fried food,油炸食物
6,Phrases,4,,lose weight,减肥
6,Phrases,5,,medical examination,体格检查
6,Phrases,6,,plenty of,大量的
6,Phrases,7,,(be) prepared to do,愿意做某事
6,Phrases,8,,stay away from,离开
6,Phrases,9,,soft drink,软饮料
6,Phrases,10,,treat oneself to something,犒劳自己
6,Phrases,11,,in general,通常
6,Phrases,12,,a bit of,一点
6,Phrases,13,,chicken sandwich,鸡肉三文治
6,Phrases,14,,fish pie,鱼馅饼
6,Phrases,15,,fruit salad,水果沙拉
6,Phrases,16,,green salad,蔬菜沙拉
6,Phrases,17,,remind sb. of sth.,提醒某人某事
6,Phrases,18,,lemon tea,柠檬茶
6,Phrases,19,,order food,点菜
6,Phrases,20,,out of money,手头没钱
6,Phrases,21,,traditional English food,传统英国食品
6,Sentences,1,,That sounds terrible.,听起来不怎么样。
6,Sentences,2,,I think I will have a hamburger.,我觉得我要来个汉堡包。
6,Sentences,3,,"In general, you should have less meat.",一般来说，你应该少吃点肉。
6,Sentences,4,,Do you remember what you had today?,你还记得今天吃了什么吗？
6,Sentences,5,,I treated myself to some ice cream.,我奖励了自己一些冰激凌。
7,Vocabulary,1,n.,adventure,冒险
7,Vocabulary,1,n.,adventurer,冒险家
7,Vocabulary,1,adj.,adventurous,爱冒险的
7,Vocabulary,2,n.,novel,小说
7,Vocabulary,2,n.,novelist,小说家
7,Vocabulary,3,n.,congratulations,祝贺；恭贺
7,Vocabulary,3,v.,congratulate,祝贺；恭贺
7,Vocabulary,4,n.,sympathy,同情
7,Vocabulary,4,adj.,sympathetic,有同情心的
7,Vocabulary,4,v.,sympathize,同情；同感
7,Vocabulary,5,n.,writer,作家
7,Vocabulary,5,v.,write,"写（wrote, written）"
7,Vocabulary,6,adj.,humorous,有幽默感的
7,Vocabulary,6,adv.,humorously,有幽默感地
7,Vocabulary,6,adj.,humorless,没有幽默感的
7,Vocabulary,6,adv.,humorlessly,没有幽默感地
7,Vocabulary,6,n.,humor,幽默感
7,Vocabulary,7,n.,pity,遗憾；可惜
7,Vocabulary,7,adj.,pitiful,可怜的；令人同情的
7,Vocabulary,7,adj.,pitiless,无情的；残酷的
7,Vocabulary,8,n.,silence,沉默
7,Vocabulary,8,adj.,silent,沉默的
7,Vocabulary,9,adj.,careful,小心的
7,Vocabulary,9,adv.,carefully,小心地
7,Vocabulary,9,adj.,careless,粗心的
7,Vocabulary,9,adv.,carelessly,粗心地
7,Vocabulary,9,n/v.,care,照顾；照料
7,Vocabulary,10,adj.,celebrated,著名的
7,Vocabulary,10,v.,celebrate,庆祝
7,Vocabulary,11,n.,lead,铅
7,Vocabulary,11,v.,lead,带领
7,Vocabulary,11,adj.,leading,领先的
7,Vocabulary,11,n.,leader,领导
7,Vocabulary,12,adj.,lazy,懒惰的
7,Vocabulary,12,n.,laziness,懒惰
7,Vocabulary,13,v.,pretend,假装
7,Vocabulary,13,n.,pretender,冒名顶替者
7,Vocabulary,14,n.,novel,小说
7,Vocabulary,14,n.,novelist,小说家
7,Vocabulary,15,v.,freeze,冷冻
7,Vocabulary,15,adj.,frozen,冷冻的
7,Vocabulary,15,adj.,freezing,寒冷的
7,Vocabulary,16,v/n.,worry,担心
7,Vocabulary,16,adj.,worried,担心的
7,Vocabulary,17,n.,survey,调查
7,Vocabulary,17,v.,survey,仔细查看
7,Vocabulary,17,n.,surveyor,测量员
7,Vocabulary,18,n.,fool,傻瓜
7,Vocabulary,18,v.,fool,使……愚蠢
7,Vocabulary,18,adj.,foolish,愚蠢的
7,Vocabulary,19,n.,trick,诡计
7,Vocabulary,19,v.,trick,捉弄
7,Vocabulary,19,adj.,tricky,狡猾的
7,Vocabulary,20,adj.,free,自由的；空闲的
7,Vocabulary,20,n.,freedom,自由
7,Phrases,1,,have a rest,休息一下
7,Phrases,2,,think of,想到
7,Phrases,3,,come along,出现
7,Phrases,4,,what a pity,真可惜
7,Phrases,5,,go on doing,不停地做
7,Phrases,6,,after a while,过了一会儿
7,Phrases,7,,trick sb. into doing sth.,诱使某人做某事
7,Phrases,8,,enjoy oneself,玩得开心
7,Phrases,9,,that's a deal,成交
7,Phrases,10,,in silence,沉默的
7,Phrases,11,,turn sth. over,使翻转
7,Phrases,12,,a task of doing sth.,做某事的任务
7,Phrases,13,,knock sb. out,敲昏某人
7,Phrases,14,,be happy for sb.,为某人感到高兴
7,Phrases,15,,warn sb. (not) to do sth.,警告某人(不)做某事
7,Phrases,16,,encourage sb. to do sth.,鼓励某人做某事
7,Phrases,17,,express sympathy,表达同情
7,Phrases,18,,long time no see,好久不见
7,Phrases,19,,what a shame,真可惜 (what a pity)
7,Sentences,1,,It is a famous book written by Li Han.,这是李寒写的一本名作。
7,Sentences,2,,Tim's aunt gave him a task of painting their fence.,Tim的姨妈给他一个任务，让他粉刷篱笆墙。
7,Sentences,3,,Every boy in town was happy except Tom Sawyer.,镇上的每个男孩都很开心。
7,Sentences,4,,Linda was so tired that she couldn't go on walking.,Linda太累了，不想再往前走。
7,Sentences,5,,Do you get a chance to talk with foreigners?,你有机会和外国人交谈吗？
8,Vocabulary,1,n.,gift,礼物；天赋
8,Vocabulary,1,adj.,gifted,有天赋的
8,Vocabulary,2,n.,graduation,毕业
8,Vocabulary,2,v.,graduate,毕业
8,Vocabulary,3,v.,count,计算（总数）
8,Vocabulary,3,adj.,countable,可数的
8,Vocabulary,3,adj.,uncountable,不可数的
8,Vocabulary,4,v.,afford,承担得起
8,Vocabulary,4,adj.,affordable,承担得起的
8,Vocabulary,5,n.,present,礼物
8,Vocabulary,5,v.,present,赠送；展示
8,Vocabulary,5,n.,presentation,展示；陈述
8,Vocabulary,6,v.,search,搜索
8,Vocabulary,6,n.,searcher,搜索者
8,Vocabulary,7,v.,draw,画画；掏出
8,Vocabulary,7,n.,drawer,抽屉
8,Vocabulary,7,n.,drawing,画画
8,Vocabulary,8,v.,accuse,指责；控告
8,Vocabulary,8,n.,accusation,指责
8,Vocabulary,9,n.,America,美洲；美国
8,Vocabulary,9,adj./n.,American,美国的；美国人
8,Vocabulary,10,v.,fix,固定；修理
8,Vocabulary,10,adj.,fixed,固定的；不变的
8,Vocabulary,10,n.,fixation,固定
8,Vocabulary,11,v.,express,表达
8,Vocabulary,11,n.,expression,表情
8,Vocabulary,12,v.,touch,触摸；触碰
8,Vocabulary,12,adj.,touched,感动的；触动的
8,Vocabulary,12,adj.,touching,令人感动的
8,Vocabulary,13,n.,gift,礼物；天赋
8,Vocabulary,13,adj.,gifted,有天赋的
8,Vocabulary,14,v.,expect,期待
8,Vocabulary,14,adj.,expected,期待的
8,Vocabulary,14,adj.,unexpected,不期待的
8,Vocabulary,14,n.,expectation,期待
8,Vocabulary,15,n.,possessions,财产
8,Vocabulary,15,v.,possess,拥有
8,Vocabulary,16,adj.,valuable,宝贵的；有价值的
8,Vocabulary,16,n.,value,价值
8,Vocabulary,17,adj.,memorable,有回忆的；值得回忆的
8,Vocabulary,17,n.,memory,记忆力
8,Vocabulary,17,v.,memorize,记忆
8,Vocabulary,18,v.,disagree,不同意
8,Vocabulary,18,v.,agree,同意
8,Vocabulary,18,n.,disagreement,不同意
8,Vocabulary,18,n.,agreement,同意
8,Vocabulary,19,adj.,proud,骄傲的
8,Vocabulary,19,adv.,proudly,骄傲地
